Year	Population	Species	
1960	39692	Red Dragon	
1970	19314	Red Dragon	
1980	6064	Red Dragon	
1984	3674	Red Dragon	
1987	1087	Red Dragon	
1991	1015	Red Dragon	
1992	983	Red Dragon	
1993	1066	Red Dragon	
1995	302	Red Dragon	
2005	1717	Red Dragon	
2010	1089	Red Dragon	
2012	517	Red Dragon	
2015	1274	Red Dragon	
2017	1934	Red Dragon	
1910	0	Blue Dragon	
1966	0	Blue Dragon	
1972	325	Blue Dragon	
1980	254	Blue Dragon	
1986	159	Blue Dragon	
2007	740	Blue Dragon	
2009	1093	Blue Dragon	
2016	1259	Blue Dragon	
2018	1124	Blue Dragon	
1965	11	Bronze Dragon	
1975	14	Bronze Dragon	
1980	12	Bronze Dragon	
1985	8	Bronze Dragon	
1990	6	Bronze Dragon	
1995	3	Bronze Dragon	
2000	22	Bronze Dragon	
2005	3	Bronze Dragon	
2007	20	Bronze Dragon	
2009	18	Bronze Dragon	
2010	3	Bronze Dragon	
2013	25	Bronze Dragon	
2018	10	Bronze Dragon	
1895	1	Silver Dragon	
1929	7	Silver Dragon	
1948	99	Silver Dragon	
1968	62	Silver Dragon	
1984	1456	Silver Dragon	
1987	602	Silver Dragon	
1991	356	Silver Dragon	
1992	17	Silver Dragon	
1993	730	Silver Dragon	
1995	2770	Silver Dragon	
2005	5810	Silver Dragon	
2010	3374	Silver Dragon	
2012	5466	Silver Dragon	
2015	8762	Silver Dragon	
2017	3313	Silver Dragon	
1985	160	Gold Dragon	
1995	37	Gold Dragon	
2007	92	Gold Dragon	
2009	32	Gold Dragon	
2013	22	Gold Dragon	
2016	6	Gold Dragon	
2018	15	Gold Dragon	
